"Club","LastName","FirstName","Pos","BaseSalary","Compensation"
"DAL","Diaz","Mauro","M",312000,398000
"TOR","Dike","Bright","F",57750,60687
"HOU","Dixon","Alex","M",49612,54612
"LA","Donovan","Landon","F",2500000,2500000
"NE","Dorman","Andy","M",125000,125000
"PHI","Dos Santos","Gilberto","M",60000,80000
"CHI","Dos Santos","Maicon","F",157000,164433
"DC","Doyle","Conor","F",46500,46500
"HOU","Driver","Andrew","M",95000,95000
"NE","Duckett","Bilal","D",35125,35125
"CHI","Duka","Dilaver","M",140000,273000
"KC","Duke","Christian","D",35125,35125
"TOR","Dunfield","Terry","M",120000,120000
"LA","Dunivant","Todd","D",150000,156750
"KC","Dwyer","Dom","F",65000,77500
"DC","Dykstra","Andrew","GK",46500,46500
"TOR","Earnshaw","Robert","F",138000,155150
"TOR","Eckersley","Richard","D",210000,310000
"PHI","Ekra","Yann","F",46500,46500
"KC","Ellis","Kevin","D",46500,47250
"TOR","Elmer","Jonas","D",124999,131488
"NY","Espindola","Fabian","F",150000,150000
"SEA","Estrada","David","F",48400,48400
"SEA","Evans","Brad","F",167296,181046
"POR","Evans","Steven","M",46500,46500
"PHI","Fabinho","Fabinho","D",78000,82500
"NE","Fagundez","Diego","F",99996,127196
"CHV","Farfan","Gabriel","M",50820,50820
"PHI","Farfan","Michael","M",98670,136170
"NE","Farrell","Andrew","D",80000,161000
"KC","Feilhaber","Benny","M",3e+05,312187
"PHI","Fernandes","Leo","M",35125,35125
"CHI","Fernandez","Alvaro","M",3e+05,366666
"RSL","Fernandez","Eduardo","GK",35125,35125
"DAL","Fernandez","Raul","GK",150000,237500
"MTL","Ferrari","Matteo","D",240000,295475
"DAL","Ferreira","David","M-F",625000,730000
"RSL","Findley","Robbie","F",175000,205500
"CLB","Finlay","Ethan","F",47300,62300
"CLB","Finley","Ryan","F",46500,74000
"CHV","Fondy","Matthew","F",46500,46500
"SEA","Ford","Josh","GK",46500,46500
"CHI","Francis","Shaun","D",46500,46500
"LA","Franklin","Sean","D",225000,248333
"TOR","Frei","Stefan","GK",145000,2e+05
"CHV","Frias","Jaime","D",60000,60000
"SJ","Fucito","Michael","MF",55000,57889
"PHI","Gaddis","Raymon","D",46500,46500
"DAL","Garcia","Danny","M",48000,64000
"RSL","Garcia","Olmes","F",120000,120000
"LA","Garcia","Rafael","M",46500,46500
"KC","Gardner","Joshua","M",60000,60000
"SJ","Gargan","Daniel","M",88000,88000
"SJ","Garza","Sam","M",71500,98000
"LA","Gaul","Bryan","F",46500,46500
"CLB","Gaven","Eddie","M-F",190000,195000
"SEA","Gavin","Blair","M",35125,35125
