"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72"
"JOHNSON (R IL-13)",1,0,0,0,1,0,1,NA,1,0,1,0,1,1,0,0,0,0,NA,1,1,0,NA,NA,1,1,1,0,1,1,1,1,0,1,1,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,NA,NA,0,0,NA,1,NA,NA,0,NA,NA,NA,1,1,NA
"ALLEN (R IL-14)",1,0,0,0,0,1,1,NA,1,0,1,NA,NA,1,0,0,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,1,0,1,1,1
"KING (R IL-15)",1,NA,0,0,0,0,NA,1,1,0,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,1,0,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,0,1,0,1,NA,1,1,0,NA,NA,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HULL (R IL-16)",1,0,0,0,0,1,1,1,NA,NA,NA,NA,1,1,0,0,1,1,0,NA,1,0,NA,1,NA,1,NA,0,0,NA,NA,NA,0,1,1,0,NA,0,0,1,0,1,1,1,1,1,1,1,1,NA,1,1,0,NA,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,1,1,1
"HALL (R IL-17)",1,0,0,1,1,1,1,1,NA,0,NA,0,NA,1,0,0,1,1,0,1,1,0,1,1,0,1,NA,NA,NA,NA,1,1,0,1,1,1,1,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0
"HOLADAY (R IL-18)",1,0,0,0,0,1,1,NA,1,0,1,NA,1,1,NA,0,0,0,NA,1,1,0,1,1,0,1,0,1,1,NA,1,NA,0,NA,NA,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,0,0,0,NA,0,1,NA,0,0,0,1,0,1,1,0
"ADKINS (R IL-19)",1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,NA,NA,NA,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,NA,NA,0,1,1,0
"RAINEY (D IL-20)",1,1,1,1,1,0,1,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,NA,NA,1,1,NA,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,NA,0,NA,NA,0,NA,1,NA,NA,NA,1,1,1,1
"MAJOR (D IL-21)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,NA,0,0,1,1,0,1,1,1,1,1,1
"IRWIN (R IL-22)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,0,1,1,1,0,NA,NA,NA,NA,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
"ARNOLD (D IL-23)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,NA,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,NA,NA,1,1,1
"WILLIAMS (R IL-24)",1,0,0,0,0,1,1,1,1,0,1,1,1,NA,NA,0,0,0,0,NA,1,0,1,1,NA,1,1,0,0,1,1,1,0,1,1,0,1,NA,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,NA,0,1,0,0,0,1,1,0,1,1,1
"DENISON (R IL-25)",1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,NA,1,1,0,0,1,1,1,0,1,1,0,NA,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,0,1,1,0,1,1,NA
"RATHBONE (R IL-99)",1,0,0,NA,1,0,1,1,1,0,1,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YATES (R IL-99)",1,0,0,0,0,0,1,1,1,NA,1,NA,1,NA,NA,0,1,1,0,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,1,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,0,0,NA,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA
"ROWBOTTOM (R IN-1)",1,0,0,0,0,1,1,1,1,NA,NA,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,NA,0,1,0,1,NA,1,1,1,0,1,1,1,1,0,1,0,1,NA,0,NA,0,1,0,1,1,1,NA,0,1,1,0,1,1,0
"GREENWOOD (D IN-2)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,NA,1,1,0,0,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,NA,NA,1,0,1,1,1,NA,NA,0,1,1,0,1,1,1,1,1,0
"GARDNER (D IN-3)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,NA,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"CANFIELD (D IN-4)",1,1,1,1,1,0,1,NA,0,1,NA,1,1,1,0,0,1,1,1,1,1,0,NA,NA,1,1,1,1,1,1,0,0,1,NA,NA,1,0,0,0,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,1,1,1,1,0,0,NA,1,0,1,1,1,1,1,0
"JOHNSON (R IN-5)",1,0,0,0,NA,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,NA,0,NA,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,0,1,1,0
"ELLIOTT (R IN-6)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,NA,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,NA,0,0,1,1,1,1,0,1,0,0,1,NA,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,1,1,0,0,0,1,0,1,1,1
"UPDIKE (R IN-7)",1,0,1,0,0,0,1,1,1,0,1,0,1,NA,0,0,1,1,0,1,1,0,1,NA,NA,1,NA,0,0,NA,1,1,0,1,1,NA,NA,NA,1,1,0,1,NA,1,1,0,NA,NA,1,1,0,0,1,0,NA,NA,NA,NA,NA,1,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,1
"VESTAL (R IN-8)",1,0,0,0,0,0,1,1,1,0,1,NA,NA,NA,0,0,0,0,0,1,1,0,1,1,0,NA,1,0,0,1,1,1,NA,1,1,0,1,0,1,1,0,1,NA,1,1,0,1,1,NA,1,1,0,0,0,1,NA,0,0,0,0,0,1,1,1,NA,0,0,1,0,1,1,1
"PURNELL (R IN-9)",1,0,0,0,0,0,NA,NA,1,0,1,1,NA,NA,0,0,0,0,0,1,NA,0,NA,NA,0,1,1,0,0,NA,1,1,0,1,1,0,1,0,1,1,0,1,NA,1,0,1,1,1,NA,NA,NA,NA,1,0,NA,1,0,0,0,0,NA,1,1,1,0,0,0,1,0,1,1,1
"WOOD (R IN-10)",1,0,0,0,0,1,1,NA,1,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,1,0,0,NA,NA,NA,1,NA,1,0,0,1,NA,1,NA,1,1,1,NA,1,0,0,0,0,1,1,0,0,0,NA,0,NA,1,NA,NA,0,1,1,0,1,1,1
"HALL (R IN-11)",1,0,0,0,0,0,1,1,1,0,NA,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,1,1,1,1,0,1,0,1,NA,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
"HOGG (R IN-12)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,NA,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,NA,0,0,1,0,1,1,0
"HICKEY (R IN-13)",1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,NA,NA,NA,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,NA,0,1,1,0,0,NA,NA,0,1,1,1
"KOPP (R IA-1)",1,0,0,0,1,0,1,1,1,0,1,1,NA,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,NA,0,0,0,1,NA,1,1,NA,NA,0,0,1,0,1,1,1
"LETTS (R IA-2)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,NA,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
"ROBINSON (R IA-3)",1,0,0,0,1,0,1,1,1,0,1,1,NA,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,1,0,NA,0,0,0,0,0,1,1,1,1,1
"HAUGEN (R IA-4)",1,0,NA,0,0,0,1,1,1,NA,1,0,1,NA,NA,0,1,1,0,NA,1,0,1,NA,0,NA,1,1,0,NA,1,1,NA,1,NA,1,1,0,0,1,0,1,NA,1,1,NA,1,1,1,1,NA,1,0,0,NA,NA,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
"COLE (R IA-5)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,NA,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,1,0,1,1,1
"RAMSEYER (R IA-6)",1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,NA,0,0,0,1,1,0,0,0,1,NA,NA,1,0,0,NA,NA,1,0,1,1,1
"DOWELL (R IA-7)",1,0,0,0,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,NA,1,NA,NA,1,1,1,0,0,0,0,0,1,1,1,1,0
"THURSTON (R IA-8)",1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,NA,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,NA,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1
"GREEN (R IA-9)",1,0,0,0,0,0,1,NA,1,0,NA,NA,NA,NA,0,NA,0,NA,0,1,NA,0,NA,1,0,1,1,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VINCENT (R IA-9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,1,0,1,1,NA,NA,0,0,1,0,1,1,NA
"DICKINSON (R IA-10)",1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,NA,NA,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1
"BOIES (R IA-11)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHONY (R KS-1)",1,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1
"GUYER (R KS-2)",1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,NA,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,NA,0,1,0,0,1,0,1,0,NA,NA,0,1,1,1
"SPROUL (R KS-3)",NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,0,1,1,0,NA,1,0,1,1,0,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1
"HOCH (R KS-4)",1,0,0,1,0,1,1,1,1,0,1,0,NA,NA,NA,0,0,0,0,NA,1,0,NA,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,NA,1,0,0,0,0,1,0,1,NA,1
"STRONG (R KS-5)",1,0,0,0,0,1,1,NA,1,NA,NA,1,1,NA,NA,0,1,1,0,NA,NA,0,1,1,0,1,NA,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,NA,0,1,0,1,0,0,NA,0,1,1,1,1,0,0,0,0,NA,0,1,1,1
"WHITE (R KS-6)",1,0,0,0,0,1,1,1,1,0,NA,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,0,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPE (R KS-7)",1,0,0,0,0,1,1,1,NA,0,NA,NA,1,NA,0,0,1,1,0,1,1,0,1,1,0,NA,1,1,1,1,NA,1,0,1,NA,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,NA,1
"AYRES (D KS-8)",1,1,1,1,1,0,1,NA,0,1,1,1,1,1,1,NA,NA,1,0,1,1,0,1,0,0,1,NA,1,1,1,0,0,1,1,1,1,1,NA,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,NA,1,1,NA,0,0,0,1,1,1,1,1,1,1
"GREGORY (D KY-1)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,NA,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,NA,1,1,0,0,1,1,NA,1,1,1,1,0,NA
"KINCHELOE (D KY-2)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,NA,0,1,0,1,0,1,1,NA,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"MOORE (D KY-3)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,NA,1,NA,NA,0,1,1,0,1,1,1,1,NA,0
"MOORMAN (D KY-4)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,NA,NA,0,NA,NA,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,1,1,0,0
"THATCHER (R KY-5)",1,0,1,0,1,0,1,1,1,1,NA,1,1,NA,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,NA,0,1,1,NA,1,0,0,1,1,0,1,0,1,1,0,1,NA,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,NA,0,1,1,0,1,1,0
"WARE (D KY-6)",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,NA,NA,1,1,NA,NA,1,1,1,0,1,1,0,0,0,0
"CHAPMAN (D KY-7)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,NA,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"GILBERT (D KY-8)",1,0,1,1,1,0,1,1,0,1,NA,1,1,1,1,NA,NA,NA,NA,1,1,0,1,1,NA,0,1,1,1,1,0,0,1,0,0,1,NA,0,0,1,0,1,0,1,NA,NA,0,1,1,1,1,1,0,0,0,NA,0,1,1,1,NA,0,0,NA,NA,0,0,1,1,1,NA,NA
"VINSON (D KY-9)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,NA,NA,NA,1,NA,NA,0,1,1,0,1,1,1,1,0,0
"LANGLEY (R KY-10)",1,0,0,0,1,0,1,1,1,0,NA,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,0,1,1,1,1,NA,NA,NA,NA,1,NA,0,1,1,1,0,1,1,NA,0,1,1,1,1,1,0,0,1,NA,0,0,0,1,0,0,1,1,1,0,NA,1,1,1,1,0
"ROBSION (R KY-11)",1,0,0,NA,NA,NA,NA,1,1,0,1,1,1,1,0,0,NA,NA,NA,NA,1,0,1,1,NA,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,1,NA,1,NA,1,0,1,1,1,NA,NA,0,NA,NA,NA,0,0,0,1,0,NA,1,1,NA,0,1,1,0,1,1,0
"O'CONNOR (D LA-1)",1,1,1,1,1,0,1,NA,1,1,1,1,1,1,0,0,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,NA,0,NA,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,NA
"SPEARING (D LA-2)",1,1,1,1,1,0,1,1,1,0,1,1,NA,1,1,0,1,1,0,1,1,1,1,1,NA,0,NA,1,1,NA,0,0,0,1,0,1,NA,0,0,1,0,1,1,1,1,1,1,1,NA,NA,NA,1,0,1,1,1,NA,1,0,1,NA,NA,0,1,1,0,1,1,0,0,0,1
"MARTIN (D LA-3)",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,NA,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,1,NA,0,0,NA,1,0,1,1,0,0,0,0
"SANDLIN (D LA-4)",1,1,1,1,1,0,1,0,0,NA,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
"WILSON (D LA-5)",1,1,1,1,1,0,1,0,1,NA,NA,1,1,NA,NA,0,1,1,0,1,1,0,NA,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"KEMP (D LA-6)",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,NA,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,NA,NA,1,0,1,1,0,0,1,1,1,1,1,1,0,NA,0
"DE (D LA-7)",1,NA,1,1,1,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,0,1,1,1,1,1,1,0,NA,1,1,1,0,0,1,1,0,NA,1,0,0,1,0,1,0,1,1,1,0,1,NA,NA,1,1,0,NA,0,NA,0,1,1,1,NA,0,0,1,1,0,NA,1,0,0,NA,NA
"ASWELL (D LA-8)",1,1,1,1,1,0,1,NA,0,NA,NA,1,NA,1,NA,0,1,1,0,1,1,0,NA,0,1,0,1,0,1,1,NA,0,1,0,0,1,1,NA,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,NA,0,1,1,0,1,0,1,1,0,0
"BEEDY (R ME-1)",1,0,0,0,0,1,NA,1,1,NA,1,1,1,1,0,NA,0,0,0,NA,1,0,1,0,0,1,1,0,0,1,1,1,0,NA,NA,0,NA,NA,1,1,1,0,NA,0,1,1,NA,1,NA,1,NA,0,0,0,1,NA,0,0,0,0,0,NA,1,NA,1,NA,1,1,0,1,1,1
"WHITE (R ME-2)",1,0,0,0,0,1,1,1,1,0,NA,1,1,NA,0,NA,1,0,0,1,1,0,1,1,0,NA,NA,0,1,1,1,1,NA,NA,NA,0,1,NA,1,1,NA,NA,1,0,1,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,0,0,NA,0,1,1,NA,NA,NA,1,0,1,1,NA
"NELSON (R ME-3)",1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,NA,NA,1,0,1,1,1,0,NA,NA,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,NA,1,0,NA,0,1,1,0,0,0,1,0,1,1,1
"HERSEY (R ME-4)",1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,NA,NA,0,0,NA,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,NA,0,0,0,0,NA,0,1,NA,NA,NA,0,1,0,1,1,1
"GOLDSBOROUG (D MD-1)",1,1,1,1,1,0,1,NA,0,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,0,1,NA,1,1,1,0,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1,NA,1,1,1,NA,NA,1,0,1,1,NA,1,0,1,1,1,NA,0,NA,NA,NA,0,1,NA,1,1,1,0
"COLE (D MD-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,1,1,1,NA,0,0,1,1,1,1,1,0,0,1,1,NA,NA,1,0,1,1,NA,0,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0
"PALMISANO (D MD-3)",1,1,1,1,1,0,1,NA,0,1,1,1,NA,1,1,0,1,1,1,1,NA,1,1,1,NA,NA,1,1,NA,1,0,0,0,1,1,1,1,NA,0,1,0,0,1,NA,1,1,1,1,NA,NA,1,0,1,1,0,NA,1,1,0,1,NA,NA,1,NA,NA,1,0,NA,0,0,1,1
"LINTHICUM (D MD-4)",1,1,1,1,1,0,1,1,0,NA,NA,1,1,1,1,0,1,1,1,1,0,1,NA,1,1,1,1,1,1,NA,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,NA,NA,1,0,1,1,NA,NA,NA,NA,0,0,NA,1,1,1,NA,0,0,NA,0,0,1,0
"GAMBRILL (D MD-5)",1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,NA,1,0,0,1,0,1,0,NA,0,1,NA,0,1,1,1,0,0,1,0,0,1,0
"ZIHLMAN (R MD-6)",1,0,NA,0,1,0,1,1,1,0,1,1,1,1,0,0,NA,NA,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,1,1,1,1,1
"TREADWAY (R MA-1)",1,0,0,0,0,0,1,NA,1,0,1,0,1,1,0,NA,1,1,0,NA,NA,0,1,1,0,NA,1,0,0,NA,1,1,NA,NA,1,0,1,NA,1,0,1,0,NA,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,1,0,NA,1,1
"BOWLES (R MA-2)",1,0,0,0,0,1,0,1,1,0,1,0,1,1,NA,0,NA,NA,NA,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,NA,NA,1,0,NA,NA,0,0,1,0,1,0,0,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
