"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72"
"BARBOUR (R CA-7)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,NA,1,NA,1,1,0,1,1,1,NA,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,NA,1,1,0,1,1,1
"FREE (R CA-8)",NA,NA,0,0,0,1,1,NA,1,NA,NA,0,1,1,NA,NA,1,1,0,1,NA,NA,1,1,0,NA,1,1,1,1,NA,1,0,1,NA,0,1,NA,1,1,1,NA,NA,0,1,0,1,0,1,1,NA,0,0,1,NA,1,0,0,0,0,0,0,1,NA,0,0,1,1,0,1,NA,1
"EVANS (R CA-9)",1,1,0,0,0,NA,NA,1,1,1,NA,0,1,NA,0,0,1,1,0,1,1,0,NA,1,0,1,1,1,0,1,1,NA,0,1,1,0,1,0,1,0,NA,NA,NA,0,1,1,1,0,1,NA,1,1,0,0,NA,1,NA,0,0,0,NA,0,1,1,NA,0,1,1,0,1,1,0
"CRAIL (R CA-10)",1,0,0,0,0,1,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,1,1,NA,1,1,NA,0,1,1,1,0,1,1,0,1,0,NA,NA,1,0,1,0,1,1,1,0,NA,NA,1,1,0,0,NA,1,0,0,NA,0,NA,0,1,0,NA,0,1,1,0,1,1,0
"SWING (R CA-11)",1,0,0,0,0,0,NA,1,1,0,1,1,1,1,0,0,1,1,NA,1,1,NA,1,1,0,1,1,1,1,NA,1,NA,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,NA,0,1,1,0,1,1,1
"WHITE (D CO-1)",1,1,1,1,1,0,1,1,0,NA,1,1,1,1,1,0,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,NA,NA,NA,NA,0,0,1,1,1,0,1,1,0,0,1,1
"TIMBERLAKE (R CO-2)",1,0,0,0,0,NA,NA,1,1,0,1,1,1,1,0,0,1,0,0,1,NA,0,1,1,0,1,1,1,NA,1,1,1,0,1,1,0,1,NA,1,0,0,1,NA,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,NA,0,NA,NA,1,1,0,NA,NA,1,0,1,1,1
"HARDY (R CO-3)",1,0,0,0,0,0,1,1,1,NA,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,NA,0,1,1,0,0,1,NA,0,1,1,1
"TAYLOR (D CO-4)",1,1,1,1,1,0,NA,NA,0,1,NA,1,NA,NA,1,0,1,1,0,1,NA,NA,1,0,NA,1,1,1,1,NA,0,0,NA,NA,1,NA,1,NA,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,NA,NA,NA,NA,0,0,0,1,0,NA,1,1,1,1,1,0
"FENN (R CT-1)",1,0,0,0,0,1,1,1,1,0,1,NA,1,1,0,0,1,1,0,1,1,0,NA,1,NA,1,1,0,0,1,1,1,0,NA,1,0,NA,NA,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,NA,NA,0,0,0,0,NA,0,1,NA,NA,0,NA,NA,0,0,1,1
"FREEMAN (R CT-2)",1,0,0,0,0,1,1,1,1,0,1,NA,1,1,NA,0,1,1,0,1,NA,NA,NA,1,0,1,1,1,0,1,1,1,0,1,1,0,NA,NA,1,0,NA,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,NA,NA,1,1,0,0,0,1,0,0,NA,1
"TILSON (R CT-3)",1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,NA,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1
"MERRITT (R CT-4)",1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,NA,1,1,NA,0,1,1,0,1,NA,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,NA,1,1,0,NA,NA,NA,0,0,NA,NA
"GLYNN (R CT-5)",1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,NA,1,1,0,1,1,1,1,1,1,NA,1,0,0,NA,1,1,0,1,1,0,1,0,1,0,NA,NA,1,NA,0,1,1,0,1,1,0,0,1,0,1,0,0,NA,0,0,NA,0,1,NA,0,1,0,1,0,0,1,1
"HOUSTON (R DE-1)",1,NA,0,0,0,0,1,1,1,NA,1,0,1,1,0,0,0,1,0,NA,1,0,NA,NA,0,1,1,0,1,1,NA,1,NA,1,1,NA,NA,NA,1,0,NA,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,NA,0,1,0,0,1,1,1,0,0,1,0,1,1,1
"DRANE (D FL-1)",1,NA,1,1,1,0,1,1,0,1,1,1,NA,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,1,1,0,1,NA,1,1,NA,0
"GREEN (D FL-2)",1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0
"YON (D FL-3)",1,1,1,1,1,0,1,0,0,1,1,NA,0,1,1,0,1,1,1,1,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,NA,0,1,NA,0,0,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0
"SEARS (D FL-4)",1,NA,1,1,1,0,1,1,0,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,0,1,0,0,NA,1,0,1,1,1,NA,NA,NA
"EDWARDS (D GA-1)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,1,0,1,1,1,NA,NA,1,1,1,0,0,1,0,0,NA,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,NA,NA,NA,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"COX (D GA-2)",1,1,1,1,1,0,1,1,0,1,NA,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,NA,1,0,0,0,1,0,1,1,1,0,0,0,NA,1,0,1,1,1,1,0,0
"CRISP (D GA-3)",1,1,1,1,1,0,1,NA,0,1,1,1,1,1,0,0,0,0,NA,1,1,0,1,1,1,0,1,1,1,1,0,0,1,NA,0,1,NA,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,NA,1,NA,0,0,NA,1,0,1,1,1,1,0,0
"WRIGHT (D GA-4)",NA,NA,1,1,1,0,1,1,0,1,NA,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,NA,1,1,1,1,1,1,0,0,NA,NA,NA,0,1,NA,1,0,1,1,0,1,1,1,1,0,0
"STEELE (D GA-5)",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
